industry,year,ecommerce_value
Food manufacturing,2015,469537.0
Food manufacturing,2014,467112.0
Food manufacturing,2013,417687.0
Food manufacturing,2012,385649.0
Food manufacturing,2011,340436.0
Food manufacturing,2010,300280.0
Food manufacturing,2009,262608.0
Food manufacturing,2008,247132.0
Food manufacturing,2007,203693.0
Food manufacturing,2006,153996.0
Food manufacturing,2005,99090.0
Food manufacturing,2004,64121.0
Food manufacturing,2003,59576.0
Food manufacturing,2002,51094.0
Food manufacturing,2001,53556.0
Food manufacturing,2000,54837.0
Food manufacturing,1999,45757.0
Beverage and tobacco product manufacturing,2015,113444.0
Beverage and tobacco product manufacturing,2014,102220.0
Beverage and tobacco product manufacturing,2013,102221.0
Beverage and tobacco product manufacturing,2012,97299.0
Beverage and tobacco product manufacturing,2011,85357.0
Beverage and tobacco product manufacturing,2010,82329.0
Beverage and tobacco product manufacturing,2009,77180.0
Beverage and tobacco product manufacturing,2008,67894.0
Beverage and tobacco product manufacturing,2007,72038.0
Beverage and tobacco product manufacturing,2006,68046.0
Beverage and tobacco product manufacturing,2005,60651.0
Beverage and tobacco product manufacturing,2004,52783.0
Beverage and tobacco product manufacturing,2003,46998.0
Beverage and tobacco product manufacturing,2002,45419.0
Beverage and tobacco product manufacturing,2001,45665.0
Beverage and tobacco product manufacturing,2000,42862.0
Beverage and tobacco product manufacturing,1999,35138.0
Textile mills,2015,18734.0
Textile mills,2014,18329.0
Textile mills,2013,16861.0
Textile mills,2012,13899.0
Textile mills,2011,14974.0
Textile mills,2010,15505.0
Textile mills,2009,12589.0
Textile mills,2008,13186.0
Textile mills,2007,14494.0
Textile mills,2006,12377.0
Textile mills,2005,7512.0
Textile mills,2004,4416.0
Textile mills,2003,3639.0
Textile mills,2002,3977.0
Textile mills,2001,4435.0
Textile mills,2000,5214.0
Textile mills,1999,6016.0
Textile product mills,2015,15247.0
Textile product mills,2014,14416.0
Textile product mills,2013,12710.0
Textile product mills,2012,11485.0
Textile product mills,2011,10805.0
Textile product mills,2010,9804.0
Textile product mills,2009,10019.0
Textile product mills,2008,11723.0
Textile product mills,2007,13470.0
Textile product mills,2006,11588.0
Textile product mills,2005,7189.0
Textile product mills,2004,8472.0
Textile product mills,2003,7244.0
Textile product mills,2002,7491.0
Textile product mills,2001,7409.0
Textile product mills,2000,5800.0
Textile product mills,1999,7284.0
Apparel manufacturing,2015,6114.0
Apparel manufacturing,2014,5993.0
Apparel manufacturing,2013,4618.0
Apparel manufacturing,2012,4977.0
Apparel manufacturing,2011,5135.0
Apparel manufacturing,2010,5159.0
